,Latitude,Longitude,Borough,Neighborhood,price1,price2,price3,price4
0,40.71932379395907,-73.99730467208073,Manhattan,Little Italy,41,66,38,7
0,40.72218384131794,-74.00065666959759,Manhattan,Soho,42,58,43,0
0,40.73443393572434,-74.00617998126812,Manhattan,West Village,31,67,56,8
0,40.797307041702865,-73.96428617740655,Manhattan,Manhattan Valley,60,54,11,0
0,40.807999738165826,-73.96389627905332,Manhattan,Morningside Heights,71,54,15,0
0,40.71193198394565,-74.01686930508617,Manhattan,Battery Park City,33,22,11,5
0,40.70710710727048,-74.0106654452127,Manhattan,Financial District,50,40,19,4
0,40.76850859335492,-73.91565374304234,Queens,Astoria,77,87,9,4
0,40.74634908860222,-73.90184166838284,Queens,Woodside,60,39,4,0
0,40.75198138007367,-73.88282109164365,Queens,Jackson Heights,73,55,6,1
0,40.744048505122024,-73.88165622288388,Queens,Elmhurst,82,53,4,1
0,40.65422527738487,-73.8381376460028,Queens,Howard Beach,19,13,3,0
0,40.74238175015667,-73.85682497345258,Queens,Corona,31,22,3,1
0,40.72526378216503,-73.84447500788983,Queens,Forest Hills,35,31,5,0
0,40.7051790354148,-73.82981905825703,Queens,Kew Gardens,9,12,3,1
0,40.69794731471763,-73.83183321446887,Queens,Richmond Hill,12,20,3,1
0,40.76445419697846,-73.83177300329582,Queens,Flushing,57,37,1,1
0,40.75021734610528,-73.93920223915505,Queens,Long Island City,53,30,5,1
0,40.74017628351924,-73.92691617561577,Queens,Sunnyside,40,27,2,1
0,40.76407323883091,-73.86704147658772,Queens,East Elmhurst,31,10,5,1
0,40.725427374093606,-73.89621713626859,Queens,Maspeth,35,13,1,0
0,40.70832315613858,-73.90143517559589,Queens,Ridgewood,61,41,2,0
0,40.70276242967838,-73.87074167435605,Queens,Glendale,19,11,1,0
0,40.72897409480735,-73.8578268690537,Queens,Rego Park,45,23,0,0
0,40.68988687915789,-73.8581104655432,Queens,Woodhaven,28,13,1,0
0,40.680708468265415,-73.84320266173447,Queens,Ozone Park,26,11,3,0
0,40.66854957767195,-73.80986478649041,Queens,South Ozone Park,18,4,2,0
0,40.784902749260205,-73.84304528896125,Queens,College Point,27,8,5,2
0,40.78129076602694,-73.81420216610863,Queens,Whitestone,22,10,5,1
0,40.76604063281064,-73.7742736306867,Queens,Bayside,35,37,5,0
0,40.76172954903262,-73.79176243728061,Queens,Auburndale,27,34,3,0
0,40.7708261928267,-73.7388977558074,Queens,Little Neck,23,14,2,2
0,40.76684609790763,-73.7424982072733,Queens,Douglaston,18,14,4,2
0,40.74944079974332,-73.71548118999145,Queens,Glen Oaks,12,7,2,0
0,40.72857318176675,-73.72012814826903,Queens,Bellerose,15,4,4,0
0,40.722578244228046,-73.82087764933566,Queens,Kew Gardens Hills,22,12,2,0
0,40.7343944653313,-73.78271337003264,Queens,Fresh Meadows,26,13,0,0
0,40.71093547252271,-73.81174822458634,Queens,Briarwood,38,14,1,0
0,40.70465736068717,-73.79690165888289,Queens,Jamaica Center,35,17,1,1
0,40.74561857141855,-73.75494976234332,Queens,Oakland Gardens,17,9,0,1
0,40.718893092167356,-73.73871484578424,Queens,Queens Village,16,6,1,0
0,40.71124344191904,-73.75925009335594,Queens,Hollis,18,2,1,0
0,40.696911253789885,-73.7904261313554,Queens,South Jamaica,12,1,0,0
0,40.69444538522359,-73.75867603727717,Queens,St. Albans,10,4,0,0
0,40.67521139591733,-73.77258787620906,Queens,Rochdale,14,4,2,0
0,40.666230490368584,-73.76042092682287,Queens,Springfield Gardens,11,2,0,0
0,40.692774639160845,-73.73526873708026,Queens,Cambria Heights,10,4,1,0
0,40.659816433428084,-73.73526079428278,Queens,Rosedale,11,6,1,0
0,40.603134432500894,-73.75497968043872,Queens,Far Rockaway,16,2,0,0
0,40.60302658351238,-73.8200548911032,Queens,Broad Channel,6,1,0,0
0,40.55740128845452,-73.92551196994168,Queens,Breezy Point,1,1,0,0
0,40.775923015642896,-73.90228960391673,Queens,Steinway,35,40,4,2
0,40.79278140360048,-73.80436451720988,Queens,Beechhurst,14,9,2,1
0,40.782842806245554,-73.7768022262158,Queens,Bay Terrace,11,7,1,0
0,40.595641807368494,-73.77613282391705,Queens,Edgemere,7,1,1,0
0,40.58914394372971,-73.79199233136943,Queens,Arverne,10,3,0,0
0,40.582801696845586,-73.82236121088751,Queens,Rockaway Beach,27,17,3,0
0,40.572036730217015,-73.85754672410827,Queens,Neponsit,9,2,0,0
0,40.764126122614066,-73.81276269135866,Queens,Murray Hill,34,52,3,0
0,40.741378421945434,-73.70884705889246,Queens,Floral Park,22,14,1,0
0,40.7209572076444,-73.76714166714729,Queens,Holliswood,14,5,1,0
0,40.71680483014613,-73.7872269693666,Queens,Jamaica Estates,26,6,0,0
0,40.7445723092867,-73.82580915110559,Queens,Queensboro Hill,18,7,0,0
0,40.723824901829204,-73.79760300912672,Queens,Hillcrest,26,10,2,1
0,40.761704526054146,-73.93157506072878,Queens,Ravenswood,64,63,15,1
0,40.66391841925139,-73.84963782402441,Queens,Lindenwood,16,8,2,0
0,40.66788389660247,-73.74025607989822,Queens,Laurelton,13,6,2,1
0,40.736074570830795,-73.8625247141374,Queens,Lefrak City,39,21,1,1
0,40.57615556543109,-73.8540175039252,Queens,Belle Harbor,8,2,0,0
0,40.58034295646131,-73.84153370226186,Queens,Rockaway Park,20,5,1,1
0,40.59771061565768,-73.79664750844047,Queens,Somerville,9,3,0,0
0,40.66000322733613,-73.75175310731153,Queens,Brookville,8,1,1,0
0,40.73301404027834,-73.73889198912481,Queens,Bellaire,21,5,1,0
0,40.7540709990489,-73.85751790676447,Queens,North Corona,31,17,3,0
0,40.7146110815117,-73.8410221123401,Queens,Forest Hills Gardens,38,42,8,0
0,40.6449815710044,-74.07935312512797,Staten Island,St. George,25,12,3,0
0,40.64061455913511,-74.08701650516625,Staten Island,New Brighton,15,10,3,0
0,40.62692762538176,-74.07790192660066,Staten Island,Stapleton,15,6,3,0
0,40.61530494652761,-74.06980526716141,Staten Island,Rosebank,13,9,1,0
0,40.63187892654607,-74.1071817826561,Staten Island,West Brighton,23,11,3,0
0,40.624184791313006,-74.08724819983729,Staten Island,Grymes Hill,5,4,0,0
0,40.59706851814673,-74.1113288180088,Staten Island,Todt Hill,1,0,0,0
0,40.63366930554365,-74.12943426797008,Staten Island,Port Richmond,17,10,0,0
0,40.632546390481124,-74.15008537046981,Staten Island,Mariner's Harbor,19,8,0,1
0,40.63968297845542,-74.17464532993542,Staten Island,Port Ivory,1,0,0,0
0,40.61333593766742,-74.11918058534842,Staten Island,Castleton Corners,23,7,3,0
0,40.594252379161695,-74.16496031329827,Staten Island,New Springville,14,1,0,0
0,40.58631375103281,-74.19073717538116,Staten Island,Travis,2,6,1,0
0,40.57257231820632,-74.1164794360638,Staten Island,New Dorp,28,16,2,0
0,40.5584622432888,-74.12156593771896,Staten Island,Oakwood,5,2,0,0
0,40.549480228713605,-74.14932381490992,Staten Island,Great Kills,16,13,5,2
0,40.542230747450745,-74.1643308041936,Staten Island,Eltingville,17,9,1,0
0,40.53811417474507,-74.17854866165878,Staten Island,Annadale,6,4,1,1
0,40.541967622888755,-74.20524582480326,Staten Island,Woodrow,9,3,0,0
0,40.50533376115642,-74.24656934235283,Staten Island,Tottenville,9,4,1,1
0,40.637316067110326,-74.08055351790115,Staten Island,Tompkinsville,25,11,3,0
0,40.61919310792676,-74.09629029235458,Staten Island,Silver Lake,4,6,3,1
0,40.61276015756489,-74.0971255217853,Staten Island,Sunnyside,7,4,1,1
0,40.643675183340974,-73.96101312466779,Brooklyn,Ditmas Park,33,0,4,0
0,40.66094656188111,-73.93718680559314,Brooklyn,Wingate,39,12,2,1
0,40.655572313280764,-73.92688212616955,Brooklyn,Rugby,26,11,3,0
0,40.60919044434558,-74.08015734936296,Staten Island,Park Hill,6,4,0,0
0,40.62109047275409,-74.13304143951704,Staten Island,Westerleigh,23,16,2,0
0,40.620171512231884,-74.15315246387762,Staten Island,Graniteville,23,10,0,1
0,40.596312571276734,-74.06712363225574,Staten Island,Arrochar,5,2,1,2
0,40.59826835959991,-74.0766743627905,Staten Island,Grasmere,13,8,3,2
0,40.59632891379513,-74.08751118005578,Staten Island,Old Town,12,12,4,1
0,40.588672948199275,-74.09639905312521,Staten Island,Dongan Hills,21,12,7,0
0,40.57352690574283,-74.09348266303591,Staten Island,Midland Beach,10,9,1,0
0,40.57621558711788,-74.10585598545434,Staten Island,Grant City,25,22,2,1
0,40.56425549307335,-74.10432707469124,Staten Island,New Dorp Beach,17,8,0,0
0,40.55398800858462,-74.13916622175768,Staten Island,Bay Terrace,8,9,3,0
0,40.531911920489605,-74.19174105747814,Staten Island,Huguenot,4,0,1,0
0,40.524699376118136,-74.21983106616777,Staten Island,Pleasant Plains,9,2,0,0
0,40.50608165346305,-74.22950350260027,Staten Island,Butler Manor,1,0,0,0
0,40.53053148283314,-74.23215775896526,Staten Island,Charleston,13,10,5,0
0,40.54940400650072,-74.21572851113952,Staten Island,Rossville,7,5,0,0
